KRAS_1uMGDP_G12D_GDP_D_4002 - 1_X	KRAS_1uMGDP_G12D_GDP_D_4002 - 1_Y	Fit on KRAS_1uMGDP_G12D_GDP_D_40_X	Fit on KRAS_1uMGDP_G12D_GDP_D_40_Y
-315.241		-315.241	0
-314.757		-306.663	0
-314.117		-298.085	0
-313.632		-289.507	0
-313.148		-280.929	0
-312.679		-272.351	0
-312.195		-263.773	0
-311.711		-255.195	0
-311.07		-246.617	0
-310.602		-238.039	0
-310.118		-229.461	0
-309.633		-220.883	0
-309.149		-212.305	0
-308.68		-203.727	0
-308.04		-195.149	0
-307.556		-186.571	0
-307.071		-177.993	0
-306.587		-169.415	0
-306.118		-160.837	0
-305.634		-152.259	0
-304.994		-143.681	0
-304.509		-135.103	0
-304.041		-126.524	0
-303.557		-117.946	0
-303.072		-109.368	0
-302.588		-100.79	0
-301.948		-92.2124	0
-301.479		-83.6343	0
-300.995		-75.0563	0
-300.51	-5.69312e-3	-66.4783	0
-299.87	-1.82247e-3	-57.9002	0
-299.401	-1.15681e-3	-49.3222	0
-298.917	1.13634e-3	-40.7442	0
-298.433	6.22362e-3	-32.1661	0
-297.948	0.0136103	-23.5881	0
-297.308	0.0133133	-15.0101	0
-296.839	0.0151124	-6.43203	0
-296.355	0.0128761	2.14601	1.03597
-295.871	8.1603e-3	10.724	1.12925
-295.387	0.0126411	19.3021	1.22247
-294.918	0.0227931	27.8801	1.31563
-294.277	0.0171461	36.4581	1.40874
-293.793	0.0227039	45.0362	1.50179
-293.309	0.0296088	53.6142	1.59478
-292.84	0.0277637	62.1922	1.68772
-292.356	0.02778	70.7703	1.7806
-291.872	0.0260659	79.3483	1.87342
-291.388	0.0236237	87.9263	1.96618
-290.747	0.0291827	96.5044	2.05888
-290.278	0.0317835	105.082	2.15152
-289.794	0.0260427	113.66	2.24411
-289.31	0.0267928	122.238	1.30081
-288.841	0.0171267	130.816	1.30039
-288.357	5.57451e-3	139.395	1.29996
-287.717	-5.58991e-3	147.973	1.29954
-287.232	-0.016619	156.551	1.29912
-286.748	-0.024273	165.129	1.29869
-286.279	-0.0308964	173.707	1.29827
-285.795	-0.031217	182.285	1.29785
-285.155	-0.0248524	190.863	1.29743
-284.67	-0.0231507	199.441	1.297
-284.186	-0.0151981	208.019	1.29658
-283.717	-0.0202306	216.597	1.29616
-283.233	-0.0165342	225.175	1.29574
-282.749	-0.0209555	233.753	1.29532
-282.108	-0.0130609	242.331	1.29489
-281.64	4.28173e-4	250.909	1.29447
-281.156	-2.58475e-3	259.487	1.29405
-280.671	1.60478e-4	268.065	1.29363
-280.187	1.80006e-3	276.643	1.29321
-279.547	3.07096e-3	285.221	1.29279
-279.078	6.04292e-4	293.799	1.29237
-278.594	-1.50723e-3	302.377	1.29195
-278.109	-4.26879e-3	310.955	1.29153
-277.641	-8.89206e-3	319.533	1.29111
-277	-6.90997e-3	328.111	1.29069
-276.516	-8.85926e-3	336.689	1.29026
-276.032	4.43342e-3	345.267	1.28984
-275.548	0.0183186	353.845	1.28943
-275.079	0.0324433	362.423	1.28901
-274.595	0.0328072	371.001	1.28859
-273.954	0.0371758	379.579	1.28817
-273.47	0.0402056	388.157	1.28775
-272.986	0.042502	396.736	1.28733
-272.517	0.0377763	405.314	1.28691
-272.033	0.0331787	413.892	1.28649
-271.392	0.0191806	422.47	1.28607
-270.908	0.0142438	431.048	1.28565
-270.439	0.0170988	439.626	1.28523
-269.955	0.0201212	448.204	1.28482
-269.471	0.0263907	456.782	1.2844
-268.83	0.0401582	465.36	1.28398
-268.346	0.047027	473.938	1.28356
-267.877	0.0491142	482.516	1.28314
-267.393	0.0450642	491.094	1.28273
-266.909	0.0370369	499.672	1.28231
-266.44	0.0353711	508.25	1.28189
-265.8	0.0400971	516.828	1.28147
-265.315	0.0291243	525.406	1.28106
-264.831	0.0250917	533.984	1.28064
-264.347	9.94586e-3	542.562	1.28022
-263.878	-0.0118967	551.14	1.27981
-263.394	-0.035713	559.718	1.27939
-262.754	-0.048947	568.296	1.27897
-262.269	-0.0660481	576.874	1.27856
-261.785	-0.075099	585.452	1.27814
-261.316	-0.0809576	594.03	1.27773
-260.832	-0.0861025	602.608	1.27731
-260.348	-0.0967386	611.186	1.27689
-259.707	-0.0953146	619.764	1.27648
-259.239	-0.0978571	628.342	1.27606
-258.755	-0.129078	636.92	1.27565
-258.27	-0.137114	645.498	1.27523
-257.786	-0.130963	654.077	1.27482
-257.146	-0.114919	662.655	1.2744
-256.677	-0.0968944	671.233	1.27399
-256.193	-0.0788713	679.811	1.27357
-255.708	-0.0646791	688.389	1.27316
-255.24	-0.0389344	696.967	1.27275
-254.755	-1.72123e-3	705.545	1.27233
-254.115	0.0513332	714.123	1.27192
-253.631	0.132793	722.701	1.2715
-253.146	0.211185	731.279	1.27109
-252.678	0.312107	739.857	1.27068
-252.037	0.414889	748.435	1.27026
-251.553	0.499005	757.013	1.26985
-251.069	0.57975	765.591	1.26944
-250.6	0.656761	774.169	1.26902
-250.116	0.740511	782.747	1.26861
-249.632	0.817251	791.325	1.2682
-248.991	0.916638	799.903	1.26779
-248.507	0.98114	808.481	1.26737
-248.038	1.03817	817.059	1.26696
-247.554	1.10776	825.637	1.26655
-247.07	1.16097	834.215	1.26614
-246.429	1.22912	842.793	1.26572
-245.945	1.25886	851.371	1.26531
-245.476	1.27453	859.949	1.2649
-244.992	1.28442	868.527	1.26449
-244.508	1.2911	877.105	1.26408
-243.867	1.28632	885.683	1.26367
-243.399	1.27394	894.261	1.26326
-242.915	1.26705	902.839	1.26284
-242.43	1.24572	911.417	1.26243
-241.946	1.22213	919.996	1.26202
-241.306	1.18851	928.574	1.26161
-240.837	1.17007	937.152	1.2612
-240.353	1.17636	945.73	1.26079
-239.868	1.20448	954.308	1.26038
-239.4	1.24096	962.886	1.25997
-238.759	1.31407	971.464	1.25956
-238.275	1.38002	980.042	1.25915
-237.791	1.44934	988.62	1.25874
-237.306	1.52356	997.198	2.45828
-236.838	1.59077	1005.78	2.73631
-236.354	1.66581	1014.35	3.01399
-235.713	1.73064	1022.93	3.2913
-235.229	1.736	1031.51	3.56825
-234.745	1.7175	1040.09	3.84484
-234.276	1.66976	1048.67	4.12105
-233.792	1.60941	1057.24	4.39688
-233.151	1.51536	1065.82	4.67234
-232.667	1.42118	1074.4	4.94741
-232.198	1.32427	1082.98	5.22208
-231.714	1.23466	1091.56	5.49637
-231.074	1.12424	1100.13	5.77025
-230.589	1.04055	1108.71	6.04373
-230.105	0.963319	1117.29	5.1196
-229.636	0.882521	1125.87	5.11777
-229.152	0.807219	1134.45	5.11594
-228.668	0.743222	1143.02	5.11412
-228.027	0.671904	1151.6	5.11229
-227.559	0.621964	1160.18	5.11047
-227.074	0.580642	1168.76	5.10864
-226.59	0.54357	1177.34	5.10682
-226.106	0.526484	1185.91	5.105
-225.465	0.604304	1194.49	5.10318
-224.997	0.720598	1203.07	5.10136
-224.513	0.876128	1211.65	5.09954
-224.028	1.05521	1220.23	5.09772
-223.544	1.25445	1228.8	5.0959
-222.919	1.50135	1237.38	5.09408
-222.435	1.68369	1245.96	5.09227
-221.951	1.84669	1254.54	5.09045
