subtracted_X	subtracted_Y	specific_X	specific_Y	blank_X	blank_Y
632.492	-1.202	0	0	0	0
632.976	-1.317	0.484	-0.155	0.484	0.045
633.46	-1.411	0.969	-0.284	0.969	0.085
633.945	-1.491	1	-1	1	1
634.413	-1.562	1.437	-0.4	1.437	0.12
635.054	-1.646	1.921	-0.504	1.921	0.154
635.538	-1.7	2.562	-0.589	2.562	0.212
636.022	-1.746	3.046	-0.64	3.046	0.288
636.491	-1.779	3.515	-0.685	3.515	0.386
636.975	-1.807	3.999	-0.708	3.999	0.512
637.459	-1.829	4.483	-0.718	4.483	0.652
638.1	-1.857	4.968	-0.706	4.968	0.813
638.584	-1.865	5.608	-0.652	5.608	1.034
639.053	-1.872	6.077	-0.562	6.077	1.23
639.537	-1.881	6.561	-0.457	6.561	1.418
640.021	-1.884	7.045	-0.331	7.045	1.597
640.662	-1.877	7.514	-0.187	7.514	1.774
641.13	-1.879	7.998	-0.03	7.998	1.937
641.615	-1.882	8.639	0.178	8.639	2.14
642.099	-1.882	9.123	0.346	9.123	2.293
642.583	-1.89	9.607	0.507	9.607	2.424
643.052	-1.892	10.076	0.662	10.076	2.545
643.692	-1.9	10.56	0.806	10.56	2.664
644.177	-1.908	11.044	0.924	11.044	2.758
644.661	-1.923	11.685	0.964	11.685	2.781
645.129	-1.944	12.169	0.947	12.169	2.759
645.614	-1.962	12.638	0.906	12.638	2.715
646.098	-1.981	13.122	0.851	13.122	2.647
646.738	-1.998	13.606	0.82	13.606	2.591
647.223	-2.008	14.075	0.803	14.075	2.566
647.691	-2.007	14.715	0.76	14.715	2.563
648.176	-2.004	15.2	0.747	15.2	2.595
648.66	-1.998	15.684	0.76	15.684	2.657
649.3	-1.996	16.168	0.782	16.168	2.717
649.769	-1.989	16.637	0.804	16.637	2.759
650.253	-1.972	17.277	0.811	17.277	2.773
650.738	-1.957	17.761	0.794	17.761	2.754
651.222	-1.941	18.246	0.767	18.246	2.718
651.862	-1.919	18.714	0.723	18.714	2.666
652.331	-1.915	19.199	0.662	19.199	2.599
652.815	-1.925	19.683	0.594	19.683	2.524
653.299	-1.927	20.323	0.5	20.323	2.4
653.784	-1.934	20.808	0.417	20.808	2.295
654.424	-1.95	21.276	0.333	21.276	2.19
654.893	-1.962	21.761	0.248	21.761	2.089
655.377	-1.982	22.245	0.161	22.245	1.989
655.861	-2.004	22.885	0.052	22.885	1.86
656.33	-2.022	23.354	-0.036	23.354	1.759
656.814	-2.035	23.838	-0.12	23.838	1.66
657.299	-2.045	24.322	-0.191	24.322	1.571
657.939	-2.048	24.807	-0.269	24.807	1.481
658.423	-2.046	25.447	-0.36	25.447	1.378
658.892	-2.041	25.916	-0.43	25.916	1.304
659.376	-2.04	26.4	-0.496	26.4	1.231
659.86	-2.043	26.884	-0.546	26.884	1.17
660.501	-2.038	27.369	-0.607	27.369	1.108
660.97	-2.036	28.009	-0.675	28.009	1.038
661.454	-2.037	28.478	-0.723	28.478	0.98
661.938	-2.031	28.962	-0.778	28.962	0.922
662.422	-2.025	29.446	-0.833	29.446	0.865
663.063	-2.02	29.915	-0.875	29.915	0.804
663.531	-2.01	30.399	-0.922	30.399	0.745
664.016	-1.999	31.04	-0.979	31.04	0.678
664.5	-2.003	31.524	-1.026	31.524	0.631
664.984	-2.014	32.008	-1.065	32.008	0.589
665.625	-2.026	32.477	-1.104	32.477	0.552
666.093	-2.048	32.961	-1.133	32.961	0.527
666.578	-2.074	33.445	-1.158	33.445	0.502
667.062	-2.089	34.086	-1.193	34.086	0.47
667.53	-2.104	34.554	-1.214	34.554	0.447
668.171	-2.119	35.039	-1.229	35.039	0.426
668.655	-2.132	35.523	-1.252	35.523	0.403
669.139	-2.147	36.007	-1.271	36.007	0.381
669.624	-2.166	36.648	-1.296	36.648	0.354
670.092	-2.177	37.116	-1.313	37.116	0.332
670.733	-2.182	37.601	-1.321	37.601	0.32
671.217	-2.179	38.085	-1.326	38.085	0.314
671.701	-2.169	38.569	-1.326	38.569	0.306
672.17	-2.166	39.038	-1.312	39.038	0.306
672.654	-2.159	39.522	-1.303	39.522	0.307
673.139	-2.145	40.162	-1.285	40.162	0.307
673.779	-2.12	40.647	-1.276	40.647	0.309
674.263	-2.118	41.115	-1.257	41.115	0.312
674.732	-2.118	41.6	-1.244	41.6	0.31
675.216	-2.119	42.084	-1.225	42.084	0.306
675.7	-2.12	42.724	-1.21	42.724	0.301
676.341	-2.139	43.209	-1.2	43.209	0.3
676.825	-2.16	43.677	-1.199	43.677	0.302
677.294	-2.188	44.161	-1.195	44.161	0.312
677.778	-2.224	44.646	-1.198	44.646	0.321
678.262	-2.26	45.286	-1.187	45.286	0.326
678.903	-2.293	45.755	-1.176	45.755	0.326
679.371	-2.317	46.239	-1.161	46.239	0.325
679.856	-2.336	46.723	-1.15	46.723	0.321
680.34	-2.355	47.208	-1.142	47.208	0.317
680.824	-2.365	47.848	-1.128	47.848	0.314
681.465	-2.379	48.317	-1.111	48.317	0.312
681.933	-2.38	48.801	-1.088	48.801	0.313
682.418	-2.366	49.285	-1.07	49.285	0.311
682.902	-2.336	49.926	-1.061	49.926	0.316
683.37	-2.161	50.41	-1.052	50.41	0.324
683.855	-2.044	50.879	-1.06	50.879	0.329
684.495	-2.115	51.363	-1.065	51.363	0.333
684.979	13.565	51.847	-1.062	51.847	0.342
