Column B vs. Column A_X	Column B vs. Column A_Y
-129.282	1.25329
-128.798	1.10773
-128.157	0.97366
-127.673	0.888336
-127.204	0.800899
-126.72	0.712278
-126.236	0.609245
-125.751	0.502228
-125.111	0.374471
-124.642	0.308782
-124.158	0.246652
-123.674	0.181709
-123.205	0.139376
-122.721	0.114475
-122.08	0.0823935
-121.596	0.087715
-121.112	0.0954351
-120.643	0.102095
-120.159	0.108007
-119.675	0.099161
-119.034	-0.0193247
-118.55	-0.12779
-118.081	-0.185619
-117.597	-0.231306
-117.113	-0.224443
-116.644	-0.182133
-116.004	-0.147216
-115.519	-0.135141
-115.035	-0.119872
-114.551	-0.119913
-114.082	-0.149234
-113.442	-0.222217
-112.958	-0.281544
-112.473	-0.319153
-112.005	-0.353339
-111.52	-0.383795
-111.036	-0.403771
-110.396	-0.41289
-109.911	-0.420115
-109.443	-0.413439
-108.958	-0.396987
-108.474	-0.376624
-107.834	-0.350115
-107.365	-0.341214
-106.881	-0.327659
-106.397	-0.29658
-105.912	-0.273851
-105.272	-0.244246
-104.803	-0.227215
-104.319	-0.215321
-103.835	-0.188462
-103.35	-0.17533
-102.71	-0.15917
-102.241	-0.147216
-101.757	-0.149278
-101.273	-0.146652
-100.804	-0.131909
-100.32	-0.121587
-99.679	-0.0972647
-99.195	-0.0855428
-98.711	-0.0739537
-98.242	-0.0663636
-97.758	-0.0517524
-97.274	-0.0373392
-96.633	-0.0353891
-96.165	-0.0322155
-95.68	-0.0230032
-95.196	-0.0220962
-94.712	-0.0193207
-94.071	-0.0144883
-93.603	-0.0102159
-93.118	2.21348e-3
-92.634	0.0192034
-92.15	0.0342957
-91.681	0.0558502
-91.197	0.0722058
-90.557	0.0927532
-90.072	0.100784
-89.604	0.119784
-89.119	0.131427
-88.635	0.147681
-87.995	0.163908
-87.51	0.177909
-87.042	0.182565
-86.558	0.18846
-86.073	0.184382
-85.433	0.184487
-84.964	0.186784
-84.48	0.198003
-83.996	0.207784
-83.511	0.216495
-82.871	0.234916
-82.402	0.255784
-81.918	0.281053
-81.434	0.301183
-80.793	0.30985
-80.309	0.320659
-79.84	0.309001
-79.356	0.297363
-78.872	0.294287
-78.231	0.285486
-77.763	0.269784
-77.278	0.264244
-76.794	0.257981
-76.31	0.243401
-75.669	0.234685
-75.201	0.229784
-74.717	0.230703
-74.232	0.223981
-73.764	0.223974
-73.279	0.222609
-72.639	0.22452
-72.155	0.231128
-71.67	0.226909
-71.202	0.226007
-70.717	0.220965
-70.077	0.207355
-69.593	0.197597
-69.124	0.200734
-68.64	0.165073
-68.156	0.136889
-67.515	0.0746676
-67.031	-0.0366132
-66.562	-0.143853
-66.078	-0.236398
-65.594	-0.311976
-64.953	-0.351994
-64.469	-0.338937
-64	-0.311956
-63.516	-0.267194
-63.032	-0.218402
-62.391	-0.150781
-61.923	-0.0362206
-61.438	0.069913
-60.954	0.130257
-60.47	0.201344
-60.001	0.271247
-59.517	0.32366
-58.877	0.337467
-58.392	0.315253
-57.924	0.235901
-57.439	0.0641456
-56.955	-0.155923
-56.471	-0.39205
-55.83	-0.725691
-55.362	-0.98722
-54.877	-1.23447
-54.393	-1.48452
-53.909	-1.71514
-53.268	-1.99109
-52.8	-2.17622
-52.316	-2.3604
-51.831	-2.52448
-51.363	-2.66449
-50.722	-2.84722
-50.238	-2.96876
-49.754	-3.07638
-49.269	-3.17674
-48.801	-3.2696
-48.317	-3.35389
-47.676	-3.46218
-47.192	-3.53894
-46.723	-3.60389
-46.239	-3.66079
-45.755	-3.70622
-45.114	-3.75365
-44.63	-3.77477
-44.161	-3.7906
-43.677	-3.80202
-43.193	-3.81012
-42.552	-3.81352
-42.084	-3.81022
-41.599	-3.80019
-41.115	-3.78828
-40.631	-3.75904
-40.162	-3.71013
-39.522	-3.64321
-39.037	-3.58062
-38.553	-3.50996
-38.069	-3.44076
-37.6	-3.38078
-37.116	-3.32042
-36.476	-3.2607
-35.991	-3.22746
-35.523	-3.18628
-35.038	-3.1443
-34.554	-3.09687
-34.07	-3.04004
-33.429	-2.96976
-32.961	-2.91622
-32.476	-2.85833
-31.992	-2.80548
-31.508	-2.76697
-30.883	-2.72722
-30.399	-2.70322
-29.915	-2.68024
-29.43	-2.66787
-28.962	-2.65834
-28.477	-2.65468
-27.837	-2.63859
-27.353	-2.6237
-26.868	-2.60803
-26.4	-2.59563
-25.916	-2.58804
-25.431	-2.57369
-24.791	-2.55426
-24.322	-2.53322
-23.838	-2.51694
-23.354	-2.49814
-22.869	-2.47207
-22.401	-2.45846
-21.76	-2.44022
-21.276	-2.43534
-20.792	-2.43091
-20.307	-2.42742
-19.839	-2.43344
-19.355	-2.43381
-18.714	-2.44208
-18.23	-2.43907
-17.761	-2.43468
-17.277	-2.43218
-16.793	-2.43761
-16.308	-2.43551
-15.668	-2.43232
-15.199	-2.43422
-14.715	-2.4247
-14.231	-2.42661
-13.762	-2.43099
-13.278	-2.43428
-12.794	-2.42881
-12.153	-2.43031
-11.669	-2.43107
-11.2	-2.42868
-10.716	-2.43625
-10.232	-2.44401
-9.591	-2.45741
-9.12299	-2.46322
-8.63799	-2.45816
-8.15399	-2.46151
-7.66999	-2.46822
-7.201	-2.47522
-6.561	-2.48222
-6.076	-2.47407
-5.592	-2.46453
-5.10799	-2.46592
-4.63899	-2.46389
-4.15499	-2.46686
-3.51499	-2.47732
-3.02999	-2.56471
-2.562	-2.84309
-2.077	-2.95146
-1.59299	-2.88856
-1.10899	-44.4087
-0.467987	-43.6611
0	-11.1872
0.485001	-2.28739
0.969009	-11.8337
1.453	-18.5524
1.92201	-16.4733
2.56201	-15.5603
3.04601	-11.7504
3.53101	-11.1217
3.99901	-11.1787
4.48401	-11.2591
4.968	-11.2717
5.608	-11.1895
6.093	-11.1496
6.561	-11.0586
7.04501	-10.9363
7.53	-10.7809
8.17001	-10.662
8.63901	-10.6112
9.123	-10.5388
9.60701	-10.4478
10.092	-10.3076
10.732	-10.0775
11.201	-9.91122
11.685	-9.70556
12.169	-9.45096
