KRAS_1uMGDP_G12D_GDP_D_4002 - 1_X	KRAS_1uMGDP_G12D_GDP_D_4002 - 1_Y	KRAS_1uMGDP__G12D_GDP_D_400 - 1_X	KRAS_1uMGDP__G12D_GDP_D_400 - 1_Y
7055.53	-28.285	2105.97	-14.253
7056.01	-28.287	2106.46	-14.246
7056.65	-28.291	2106.94	-14.251
7057.14	-28.291	2107.57	-14.256
7057.62	-28.293	2108.05	-14.262
7058.09	-28.293	2108.53	-14.271
7058.57	-28.292	2109.02	-14.279
7059.06	-28.293	2109.5	-14.284
7059.7	-28.296	2110.14	-14.296
7060.17	-28.297	2110.61	-14.306
7060.65	-28.304	2111.09	-14.309
7061.14	-28.31	2111.57	-14.317
7061.62	-28.317	2112.05	-14.324
7062.09	-28.318	2112.53	-14.324
7062.73	-28.324	2113.18	-14.334
7063.21	-28.334	2113.66	-14.342
7063.7	-28.334	2114.14	-14.349
7064.18	-28.337	2114.61	-14.35
7064.65	-28.339	2115.1	-14.347
7065.13	-28.338	2115.74	-14.348
7065.77	-28.339	2116.22	-14.351
7066.26	-28.344	2116.7	-14.355
7066.73	-28.349	2117.18	-14.349
7067.21	-28.349	2117.66	-14.35
7067.7	-28.357	2118.14	-14.344
7068.18	-28.358	2118.77	-14.335
7068.82	-28.359	2119.25	-14.328
7069.29	-28.352	2119.74	-14.324
7069.77	-28.35	2120.22	-14.322
7070.26	-28.347	2120.7	-14.316
7070.9	-28.346	2121.18	-14.317
7071.37	-28.349	2121.82	-14.325
7071.85	-28.352	2122.29	-14.329
7072.34	-28.355	2122.77	-14.33
7072.82	-28.356	2123.26	-14.328
7073.46	-28.364	2123.74	-14.33
7073.93	-28.371	2124.22	-14.327
7074.41	-28.383	2124.86	-14.332
7074.9	-28.393	2125.33	-14.337
7075.38	-28.395	2125.81	-14.333
7075.85	-28.392	2126.29	-14.336
7076.49	-28.4	2126.77	-14.337
7076.98	-28.402	2127.26	-14.339
7077.46	-28.403	2127.9	-14.337
7077.93	-28.412	2128.38	-14.342
7078.41	-28.415	2128.85	-14.34
7078.9	-28.415	2129.33	-14.34
7079.38	-28.417	2129.82	-14.345
7080.02	-28.414	2130.29	-14.341
7080.49	-28.415	2130.94	-14.348
7080.98	-28.418	2131.42	-14.357
7081.46	-28.416	2131.9	-14.368
7081.93	-28.422	2132.38	-14.372
7082.41	-28.427	2132.86	-14.373
7083.05	-28.429	2133.33	-14.381
7083.54	-28.435	2133.98	-14.388
7084.02	-28.44	2134.46	-14.389
7084.49	-28.442	2134.94	-14.395
7084.97	-28.441	2135.42	-14.39
7085.61	-28.441	2135.9	-14.395
7086.1	-28.444	2136.38	-14.401
7086.58	-28.438	2136.86	-14.401
7087.05	-28.442	2137.5	-14.404
7087.54	-28.439	2137.98	-14.41
7088.02	-28.442	2138.46	-14.413
7088.66	-28.437	2138.94	-14.41
7089.13	-28.428	2139.42	-14.413
7089.61	-28.43	2139.9	-14.409
7090.1	-28.428	2140.54	-14.404
7090.58	-28.428	2141.02	-14.407
7091.22	-28.429	2141.5	-14.404
7091.69	-28.43	2141.98	-14.406
7092.17	-28.435	2142.46	-14.405
7092.66	-28.438	2142.94	-14.398
7093.13	-28.442	2143.57	-14.389
7093.77	-28.445	2144.06	-14.384
7094.25	-28.443	2144.54	-14.378
7094.74	-28.435	2145.01	-14.37
7095.22	-28.429	2145.5	-14.363
7095.69	-28.425	2145.98	-14.349
7096.17	-28.431	2146.62	-14.327
7096.81	-28.429	2147.1	-14.315
7097.3	-28.434	2147.58	-14.297
7097.78	-28.437	2148.06	-14.246
7098.25	-28.444	2148.54	-14.22
7098.74	-28.453	2149.18	-14.203
7099.38	-28.464	2149.66	-14.197
7099.86	-28.474	2150.14	-14.196
7100.33	-28.477	2150.62	-14.195
7100.81	-28.474	2151.1	-14.197
7101.3	-28.47	2151.58	-14.207
7101.94	-28.463	2152.06	-14.232
7102.42	-28.459	2152.7	-14.264
7102.89	-28.454	2153.18	-14.301
7103.38	-28.461	2153.66	-14.346
7103.86	-28.465	2154.14	-14.392
7104.33	-28.463	2154.62	-14.448
7104.97	-28.46	2155.1	-14.516
